,fecha,categoria,descripcion,monto,metodo_pago
0,2025-02-01,Comida,Desayuno,8000.0,Efectivo
1,2025-02-01,Transporte,Bus,3000.0,Efectivo
2,2025-02-02,Comida,Almuerzo,14000.0,Tarjeta
3,2025-02-02,Comida,Café,2500.0,Desconocido
4,2025-02-03,Entretenimiento,Streaming,18000.0,Tarjeta
5,2025-02-03,Entretenimiento,Cine,0.0,Tarjeta
6,2025-02-04,Salud,Medicamentos,22000.0,Efectivo
7,2025-02-05,Transporte,Taxi,26000.0,Tarjeta
8,2025-02-06,Comida,Cena,17000.0,Efectivo
9,2025-02-06,Salud,Consulta médica,50000.0,Desconocido
